what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1408008610266
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1408008610266
started,bundle,org.eclipse.wst.common.emf,1.2.3.v201012100400,"org.eclipse.wst.common.emf",1408008610266
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.3.v201012020600,"org.eclipse.wst.common.emfworkbench.integration",1408008610266
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1408008610266
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1408008610266
started,bundle,org.eclipse.wst.web,1.1.402.v201012160000,"org.eclipse.wst.web",1408008610266
started,bundle,org.python.pydev,2.7.0.2013032300,"org.python.pydev",1408008610266
started,bundle,org.python.pydev.core,2.7.0.2013032300,"org.python.pydev.core",1408008610266
started,bundle,org.python.pydev.red_core,2.7.0.2013032300,"org.python.pydev.red_core",1408008610266
started,bundle,org.tigris.subversion.clientadapter,1.8.3,"org.tigris.subversion.clientadapter",1408008610266
started,bundle,org.tigris.subversion.subclipse.core,1.8.16,"org.tigris.subversion.subclipse.core",1408008610266
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1408008610266
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.1.0,"org.tigris.subversion.subclipse.tools.usage",1408008610266
started,bundle,org.tigris.subversion.subclipse.ui,1.8.15,"org.tigris.subversion.subclipse.ui",1408008610267
os,sysinfo,,,"win32",1408008610269
arch,sysinfo,,,"x86_64",1408008610269
ws,sysinfo,,,"win32",1408008610269
locale,sysinfo,,,"en_US",1408008610269
processors,sysinfo,,,"4",1408008610269
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1408008610269
java.runtime.version,sysinfo,,,"1.7.0_21-b11",1408008610269
java.specification.name,sysinfo,,,"Java Platform API Specification",1408008610269
java.specification.vendor,sysinfo,,,"Oracle Corporation",1408008610269
java.specification.version,sysinfo,,,"1.7",1408008610269
java.vendor,sysinfo,,,"Oracle Corporation",1408008610269
java.version,sysinfo,,,"1.7.0_21",1408008610269
java.vm.info,sysinfo,,,"mixed mode",1408008610269
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1408008610269
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1408008610269
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1408008610269
java.vm.specification.version,sysinfo,,,"1.7",1408008610269
java.vm.vendor,sysinfo,,,"Oracle Corporation",1408008610269
java.vm.version,sysinfo,,,"23.21-b01",1408008610269
started,bundle,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser",1408008610311
started,bundle,com.aptana.browser,3.0.0.1357174292,"com.aptana.browser",1408008610591
started,bundle,com.aptana.configurations,3.0.3.1352336277,"com.aptana.configurations",1408008610607
started,bundle,com.aptana.projects,3.0.0.1363999525,"com.aptana.projects",1408008610629
started,bundle,com.aptana.samples.ui,3.0.0.1349746898,"com.aptana.samples.ui",1408008610632
started,bundle,com.aptana.samples,3.0.0.1340804502,"com.aptana.samples",1408008610634
opened,editor,com.aptana.portal.ui,3.0.0.1360957303,"com.aptana.portal.ui.browser.startPage",1408008610658
started,bundle,com.aptana.preview,3.0.0.1363999525,"com.aptana.preview",1408008610676
activated,editor,com.aptana.portal.ui,3.0.0.1360957303,"com.aptana.portal.ui.browser.startPage",1408008610699
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1408008611094
started,bundle,com.aptana.jetty.util.epl,3.0.0.1337703431,"com.aptana.jetty.util.epl",1408008613298
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1408008615970
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1408008619094
closed,editor,com.aptana.portal.ui,3.0.0.1360957303,"com.aptana.portal.ui.browser.startPage",1408008619094
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1408008633065
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1408008650697
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1408008650718
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1408008677183
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.newWizard",1408008677193
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1408008678285
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1408008678974
started,bundle,org.eclipse.mylyn.tasks.index.core,3.7.1.v20120425-0100,"org.eclipse.mylyn.tasks.index.core",1408008679059
started,bundle,org.eclipse.mylyn.commons.notifications.ui,0.9.1.v20120425-0100,"org.eclipse.mylyn.commons.notifications.ui",1408008679327
opened,view,org.eclipse.mylyn.tasks.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1408008679461
closed,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1408008679480
activated,view,org.eclipse.mylyn.tasks.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1408008680189
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1408008680198
closed,view,org.eclipse.mylyn.tasks.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1408008680212
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1408008685857
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.100.v201004202202,"org.eclipse.jst.common.project.facet.core",1408008725069
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.0.v201005191955,"org.eclipse.jst.ws.jaxrs.core",1408008725071
started,bundle,org.tigris.subversion.clientadapter.javahl,1.7.6,"org.tigris.subversion.clientadapter.javahl",1408008725158
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.7.5.1,"org.tigris.subversion.clientadapter.svnkit",1408008725158
started,bundle,org.eclipse.jst.servlet.ui,1.1.400.v201005272100,"org.eclipse.jst.servlet.ui",1408008725217
started,bundle,org.eclipse.jdt.apt.core,3.3.400.v20100513-0845,"org.eclipse.jdt.apt.core",1408008725582
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.300.v20100513-0845,"org.eclipse.jdt.apt.pluggable.core",1408008725587
started,bundle,org.eclipse.wst.jsdt.core,1.1.4.v201102102045,"org.eclipse.wst.jsdt.core",1408008725681
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1408008726076
started,bundle,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui",1408008726078
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1408008726237
started,bundle,org.eclipse.wst.common.modulecore,1.2.5.v201101270100,"org.eclipse.wst.common.modulecore",1408008726238
started,bundle,org.eclipse.jst.j2ee.core,1.2.4.v201102101900,"org.eclipse.jst.j2ee.core",1408008726442
started,bundle,org.eclipse.jem,2.0.400.v201005110200,"org.eclipse.jem",1408008726546
